accuracy,auc,f1_0,f1_1,hyperparameters,participant,precision_0,precision_1,recall_0,recall_1,train_percent
0.8111683848797251,0.5373569901719518,0.17368421052631577,0.893404461687682,"{""var_smoothing"": 1e-08}",5,0.3672496025437202,0.836527109254382,0.1137370753323486,0.958580497450307,0.1
0.5473083985696338,0.6225153366229992,0.33654390934844197,0.6564471175003667,"{""var_smoothing"": 1e-08}",5,0.23162409826476896,0.8576082790341127,0.615225271879855,0.5317252851711026,0.2
0.34647669538325604,0.6701333930401385,0.3429205996668518,0.349994507305284,"{""var_smoothing"": 1e-08}",5,0.21594405594405594,0.8366596638655462,0.832345013477089,0.22128073343519933,0.3
0.4693298969072165,0.7078419713982987,0.41422475106685636,0.5149587750294463,"{""var_smoothing"": 1e-08}",5,0.2775447960350743,0.8695306284805091,0.8161434977578476,0.36579651941097724,0.4
0.4295654863151384,0.753306417742613,0.44783715012722647,0.4100431792739485,"{""var_smoothing"": 1e-08}",5,0.30064308681672025,0.8598256203890007,0.8774193548387097,0.26921461570768584,0.5
0.6391189135475323,0.6678203665004585,0.559531028906408,0.6943470332444943,"{""var_smoothing"": 1e-08}",7,0.5840483893655929,0.6746933212176284,0.5369891360579411,0.7151801194374879,0.1
0.7417551704863052,0.7522672040116796,0.6279527559055118,0.8022448397222487,"{""var_smoothing"": 1e-08}",7,0.6444444444444445,0.791478978978979,0.6122840690978887,0.8133076181292189,0.2
0.7295762651714103,0.7002385941180211,0.5179655870445344,0.8120745782775968,"{""var_smoothing"": 1e-08}",7,0.745719489981785,0.7256699576868829,0.3967823221554565,0.9218365061590146,0.3
0.7591089764822789,0.8148512300912185,0.5974816659748167,0.8281240768094534,"{""var_smoothing"": 1e-08}",7,0.874089068825911,0.7295440349781387,0.45385747319739334,0.9575078562645171,0.4
0.7666699791314717,0.832212837522326,0.6594139831737744,0.8225513905683192,"{""var_smoothing"": 1e-08}",7,0.865904761904762,0.7316482925517612,0.5324431951276646,0.9392474974111149,0.5
0.7587110166559581,0.8334008922790271,0.77859410430839,0.7349044309296263,"{""var_smoothing"": 1e-08}",9,0.7423037011414736,0.7805975314338447,0.8186152965859241,0.6942649020211347,0.1
0.79193772588268,0.8752005012531328,0.7957200567747572,0.7880126897801948,"{""var_smoothing"": 1e-08}",9,0.8766991459160351,0.7190860215053764,0.7284357821089456,0.8715538847117794,0.2
0.6854546609900235,0.8723975325267127,0.6403661726242371,0.7204968944099379,"{""var_smoothing"": 1e-08}",9,0.9830470666964086,0.5669095432735027,0.4748410731602198,0.9882280049566295,0.3
0.723404255319149,0.881120749322957,0.7233222098628106,0.7234862521307345,"{""var_smoothing"": 1e-08}",9,0.9501266315994545,0.5841311632359981,0.5839319923371648,0.9501654662254234,0.4
0.7694155324259407,0.8566900507777148,0.7855014895729892,0.7507212925562609,"{""var_smoothing"": 1e-08}",9,0.8966559607028151,0.6561869535978481,0.6988661463701958,0.8770786516853932,0.5
0.7094702274593133,0.6863191150168109,0.5042847725774555,0.7945214837079037,"{""var_smoothing"": 1e-08}",11,0.44463818657367044,0.8413019891500905,0.5824133993148077,0.7526693845855174,0.1
0.6780940997500815,0.7182604612984164,0.5208249090173878,0.7576389741072524,"{""var_smoothing"": 1e-08}",11,0.4382144801306478,0.8374932175800326,0.6418178194139924,0.6916872059153036,0.2
0.6884818379385285,0.7251849770425636,0.5283444580238789,0.767440782459556,"{""var_smoothing"": 1e-08}",11,0.47878684614073946,0.8087143415396639,0.5893456375838926,0.7301755314457088,0.3
0.6836653386454183,0.7340136686222005,0.5378346915017462,0.7595396729254997,"{""var_smoothing"": 1e-08}",11,0.47736238962990796,0.8131336948832822,0.6158507028599127,0.7125736129765472,0.4
0.7329624478442281,0.7462185700320547,0.5222395023328149,0.8146941730003621,"{""var_smoothing"": 1e-08}",11,0.527324120603015,0.8116586538461539,0.5172520024645718,0.8177524824412691,0.5
0.7858007548244677,0.8283174800635109,0.7137419109250096,0.8288770053475935,"{""var_smoothing"": 1e-08}",12,0.7390618841150965,0.8122421674657152,0.6900993743099006,0.8462074573121152,0.1
0.7400464631899383,0.7659006814989802,0.6453939460168288,0.79481504900411,"{""var_smoothing"": 1e-08}",12,0.7404714142427282,0.7398469688051795,0.5719542901413907,0.8586065573770492,0.2
0.7268149775702646,0.7219275728992911,0.610443864229765,0.7896517693500635,"{""var_smoothing"": 1e-08}",12,0.7245119305856833,0.7277806652806653,0.5274080757951726,0.863020030816641,0.3
0.7302926725058748,0.7398886401356628,0.6396460682174968,0.7845011521720577,"{""var_smoothing"": 1e-08}",12,0.7304432855280313,0.7302192564346998,0.5689261233815689,0.8475013829983404,0.4
0.7380158933606767,0.7713776425402286,0.6513135448652336,0.7901868199548348,"{""var_smoothing"": 1e-08}",12,0.7000366703337,0.758423645320197,0.6089314194577352,0.824726805228198,0.5
0.5855274629468178,0.561627960015327,0.46415689810640215,0.6620699459766847,"{""var_smoothing"": 1e-08}",17,0.7061042524005487,0.544423661444938,0.3457018132975151,0.8445774392455567,0.1
0.6050411926245587,0.6776457659510806,0.45203429037964354,0.6912520125737944,"{""var_smoothing"": 1e-08}",17,0.7754435107376284,0.5597218773280358,0.31899366237756865,0.9035878933654039,0.2
0.5988117923999552,0.7243928070889212,0.4188991719434973,0.6936574509971754,"{""var_smoothing"": 1e-08}",17,0.7789855072463768,0.5577426015141087,0.2864756828780813,0.9171570846536895,0.3
0.5943507257748136,0.77458679672529,0.4368191721132898,0.6830165542611895,"{""var_smoothing"": 1e-08}",17,0.8073825503355705,0.5427968166314764,0.2994026879044301,0.9209148525764673,0.4
0.5947897049591965,0.8440514234443184,0.4511054421768707,0.6788557213930348,"{""var_smoothing"": 1e-08}",17,0.8761354252683733,0.5287734935090099,0.3037503578585743,0.9478985758944077,0.5
0.4873309314275589,0.48907382857900406,0.2767872021329778,0.6029277218664227,"{""var_smoothing"": 1e-08}",18,0.20951059535822403,0.7319782294790625,0.40770741286205203,0.5125612506805631,0.1
0.5596013289036544,0.4880164722900384,0.33520561685055167,0.6707401887729756,"{""var_smoothing"": 1e-08}",18,0.2750617283950617,0.7522005571030641,0.4290115532734275,0.6051994621246078,0.2
0.5429417571569596,0.49713039514712576,0.33936999231697945,0.6506066059093283,"{""var_smoothing"": 1e-08}",18,0.2844526218951242,0.7245927075252133,0.4205658324265506,0.5903297166333088,0.3
0.6527285613040397,0.5740529579289946,0.364461738002594,0.7610921501706485,"{""var_smoothing"": 1e-08}",18,0.40887595489268824,0.7312331654760511,0.3287510968119333,0.7934934553310459,0.4
0.589304699128216,0.6321047826108623,0.513169502205419,0.6448469247035028,"{""var_smoothing"": 1e-08}",18,0.40883534136546185,0.7923633077270673,0.6890016920473774,0.5436366454813207,0.5
